month,new_customers,churned_customers,total_customers,base_mrr,addon_revenue,total_mrr,infrastructure_cost,ai_cost,sales_marketing,team_cost,support_cost,total_costs,net_income,cac,ltv,ltv_cac_ratio,cumulative_revenue,cumulative_costs,cumulative_profit
1,3,0,3,1197,0.0,1197.0,545,135,5000,12000,75,17755,-16558.0,1666.6666666666667,13725.0,8.235,1197.0,17755,-16558.0
2,3,0,6,2394,75.0,2469.0,590,270,5000,12000,150,18010,-15541.0,1666.6666666666667,13725.0,8.235,3666.0,35765,-32099.0
3,3,0,9,3591,225.0,3816.0,635,405,5000,12000,225,18265,-14449.0,1666.6666666666667,13725.0,8.235,7482.0,54030,-46548.0
4,4,0,13,5187,487.5,5674.5,695,585,5000,12000,325,18605,-12930.5,1250.0,13725.0,10.98,13156.5,72635,-59478.5
5,4,0,17,6783,850.0,7633.0,755,765,5000,12000,425,18945,-11312.0,1250.0,13725.0,10.98,20789.5,91580,-70790.5
6,4,0,21,8379,1312.5,9691.5,815,945,5000,12000,525,19285,-9593.5,1250.0,13725.0,10.98,30481.0,110865,-80384.0
7,8,0,29,11571,2175.0,13746.0,935,1305,5000,12000,725,19965,-6219.0,625.0,13725.0,21.96,44227.0,130830,-86603.0
8,8,1,36,14364,3150.0,17514.0,1040,1620,5000,28000,900,36560,-19046.0,625.0,13725.0,21.96,61741.0,167390,-105649.0
9,8,1,43,17157,4300.0,21457.0,1145,1935,5000,28000,1075,37155,-15698.0,625.0,13725.0,21.96,83198.0,204545,-121347.0
10,9,1,51,20349,5737.5,26086.5,1265,2295,5000,28000,1275,37835,-11748.5,555.5555555555555,13725.0,24.705000000000002,109284.5,242380,-133095.5
11,9,2,58,23142,7250.0,30392.0,1370,2610,5000,28000,1450,38430,-8038.0,555.5555555555555,13725.0,24.705000000000002,139676.5,280810,-141133.5
12,10,2,66,26334,9075.0,35409.0,1490,2970,5000,28000,1650,39110,-3701.0,500.0,13725.0,27.45,175085.5,319920,-144834.5
13,15,2,79,31521,11850.0,43371.0,1685,3555,12000,28000,1975,47215,-3844.0,800.0,13725.0,17.15625,218456.5,367135,-148678.5
14,15,3,91,36309,13650.0,49959.0,1865,4095,12000,28000,2275,48235,1724.0,800.0,13725.0,17.15625,268415.5,415370,-146954.5
15,16,3,104,41496,15600.0,57096.0,2060,4680,12000,55000,2600,76340,-19244.0,750.0,13725.0,18.3,325511.5,491710,-166198.5
